Season,Date,home_team,away_team
2019,2019-10-06,Oakland Raiders,Chicago Bears
2019,2019-10-13,Tampa Bay Buccaneers,Carolina Panthers
2019,2019-10-27,Los Angeles Rams,Cincinnati Bengals
2019,2019-11-03,Jacksonville Jaguars,Houston Texans
2019,2019-11-18,Los Angeles Chargers,Kansas City Chiefs
2021,2021-10-10,Atlanta Falcons,New York Jets
2021,2021-10-17,Jacksonville Jaguars,Miami Dolphins
2022,2022-10-02,New Orleans Saints,Minnesota Vikings
2022,2022-10-09,Green Bay Packers,New York Giants
2022,2022-10-30,Jacksonville Jaguars,Denver Broncos
2022,2022-11-13,Tampa Bay Buccaneers,Seattle Seahawks
2022,2022-11-21,Arizona Cardinals,San Francisco 49ers
2023,2023-10-01,Jacksonville Jaguars,Atlanta Falcons
2023,2023-10-08,Buffalo Bills,Jacksonville Jaguars
2023,2023-10-15,Tennessee Titans,Baltimore Ravens
2023,2023-11-05,Kansas City Chiefs,Miami Dolphins
2023,2023-11-12,New England Patriots,Indianapolis Colts
2024,2024-09-06,Philadelphia Eagles,Green Bay Packers
2024,2024-10-06,Minnesota Vikings,New York Jets
2024,2024-10-13,Chicago Bears,Jacksonville Jaguars
2024,2024-10-20,Jacksonville Jaguars,New England Patriots
2024,2024-11-10,Carolina Panthers,New York Giants